date,open,high,low,close,volume,amount
2026-03-03,0.551,0.557,0.545,0.546,22689054,1249103587.0
2026-03-04,0.543,0.543,0.532,0.533,23065770,1237751590.0
2026-03-05,0.538,0.539,0.532,0.534,11350498,607448220.0
2026-03-06,0.532,0.543,0.531,0.54,15527852,835776574.0
2026-03-09,0.534,0.534,0.528,0.531,17099556,907465875.0
2026-03-10,0.534,0.538,0.533,0.535,13074974,699569404.0
2026-03-11,0.535,0.538,0.533,0.536,11219876,601023821.0
2026-03-12,0.535,0.538,0.533,0.536,11101213,594361532.0
2026-03-13,0.534,0.538,0.53,0.531,16446755,877196332.0
2026-03-16,0.531,0.532,0.526,0.529,15041670,794302124.0
2026-03-17,0.53,0.545,0.529,0.534,27186281,1463298055.0
2026-03-18,0.534,0.534,0.529,0.533,15963699,848118285.0
2026-03-19,0.529,0.531,0.524,0.525,22304989,1175191438.0
2026-03-20,0.526,0.527,0.516,0.517,24371055,1269284044.0
2026-03-23,0.51,0.511,0.492,0.495,33214076,1666858601.0
2026-03-24,0.499,0.504,0.494,0.5,19028339,950114305.0
2026-03-25,0.502,0.51,0.5,0.506,19010953,960541388.0
2026-03-26,0.505,0.506,0.493,0.495,18001054,896254134.0
2026-03-27,0.492,0.5,0.491,0.499,12484172,620345201.0
2026-03-30,0.493,0.497,0.49,0.496,15782417,779405249.0
2026-03-31,0.495,0.502,0.491,0.492,13856195,686816255.0
2026-04-01,0.497,0.5,0.495,0.499,12616261,628278483.0
2026-04-02,0.497,0.498,0.488,0.49,17030615,838266966.0
